Bladder,bladder,,,,,,,,,,,,,
Bowel,Bowel,ibowel,Bowel_Small,Small Bowel,,,,,,,,,,
BrachialPlex,Brachial Plexus,1FSLRBP,,,,,,,,,,,,
BrachialPlex_L,BrachialPlex_Left,Left BrachialPlex,Left Brachial Plexus,BP_L,Lt Brachial Plex,,,,,,,,,
BrachialPlex_R,BrachialPlex_Right,Right BrachialPlex,Right Brachial Plexus,BP_R,Rt Brachial Plex,,,,,,,,,
Brain,Brain,Brain1,,,,,,,,,,,,
BrainStem,Brainstem,brainstem,Brain Stem,BrainStem,Brain_stem,tronc cerebral,,,,,,,,
Celiac,celiac,celiacsma,,,,,,,,,,,,
Cochlea_L,L Cochlea,Lt Cochlea,Cochlea-L,Lt cochlea,Left Cochlea,oreille int G,oreille g,oreille gche,,,,,,
Cochlea_R,R Cochlea,Rt Cochlea,Cochlea-R,Rt cochlea,Right Cochlea,oreille int D,oreille d,oreille drt,,,,,,
Duodenum,duodenum,iduodenum,,,,,,,,,,,,
Esophagus,esophagus,ESO,Esophageal,oesophage,,,,,,,,,,
Eye_L,Lt-Eye,Eye-L,lt eye,Left eye,oeil gche,oeil g,Eye(L),Eye (L),EYE_LT,,,,,
Eye_R,Rt-Eye,Eye-R,rt eye,Right eye,oeil drt,oeil d,Eye(R),Eye (R),EYE_RT,,,,,
FemoralHead,Femoral.head,Femoral Head,Femoral heads,Femur,,,,,,,,,,
FemoralHead_L,Femoral.head_L,Femoral Head_L,Femoral head-L,Femur_L,Lt femoral head,Left FemoralHead,Left Femoral Head,,,,,,,
FemoralHead_R,Femoral.head_R,Femoral Head_R,Femoral head-R,Femur_R,Rt femoral head,Right FemoralHead,Right Femoral Head,,,,,,,
Glnd_Submand_L,SMG_L,L SMG,Lt Submandibular,Lt SMG,Submandibular_L,Left Submandibular,,,,,,,,
Glnd_Submand_R,SMG_R,R SMG,Rt Submandibular,Rt SMG,Submandibular_R,Right Submandibular,,,,,,,,
Heart,heart,HEART,,,,,,,,,,,,
Intestine,Small.intestine,intestine,,,,,,,,,,,,
Jejunjum,ijejunum,,,,,,,,,,,,,
Kidney_L,Lt Kidney,Left Kidney,Left_Kidney,Kidney L,,,,,,,,,,
Kidney_R,Rt Kidney,Right Kidney,Right_Kidney,Kidney R,,,,,,,,,,
Larynx,larynx,,,,,,,,,,,,,
Lens_L,Lt-Lens,Len-L,Lens-L,Len_L,lt lens,Lens L,Left Lens,LENS_LT,,,,,,
Lens_R,Rt-Lens,Len-R,Lens-R,Len_R,rt lens,Lens R,Right Lens,LENS_RT,,,,,,
Liver,liver,LIVER,,,,,,,,,,,,
Lobe_Temp_L,Lt temp lobe,Temporal Lobe L,Temple_lobe-L,Left Temp lobe,TEMP_LOBE_LT,,,,,,,,,
Lobe_Temp_R,Rt temp lobe,Temporal Lobe R,Temple_lobe-R,Right Temp lobe,TEMP_LOBE_RT,,,,,,,,,
Lung_L,Lung L,LUNG_L,lt lung,Lt Lung,Left Lung,AVG LT Lung,FB LT Lung,Lung-L,Lt Lung T50,lt lung T50,Lung (Left),,,
Lung_R,Lung R,LUNG_R,rt lung,Rt Lung,Right Lung,AVG RT Lung,FB RT Lung,Lung-R,Rt Lung T50,rt lung T50,Lung (Right),,,
Lung_Total,Lungs,total lung,AVG Total Lung,FB Total Lung,Total-Lung,Total Lung,Total Lung T50,lung,Lung all,,,,,
Mandible,Mandible,Mandibule,,,,,,,,,,,,
Mid,mid,,,,,,,,,,,,,
Middle_Ear_L,Middle Ear L,Middle Ear (L),Middle Ear(L),,,,,,,,,,,
Middle_Ear_R,Middle Ear R,Middle Ear (R),Middle Ear(R),,,,,,,,,,,
OpticChiasm,Optic Chiasm,Opt.chiasm,Chiasm,,,,,,,,,,,
OpticNrv_L,OpticNerve_L,LT Optic Nerve,Opt.nerve_L,LT-OpticNerve,Optical_Nerve-L,Optic Nerve-L,lt optic nerve,Optic Nerve L,Left Optic Nerve,ON_L,nerf opt gche,OpticNerve(L),OpticNerve (L),optic_nrv_lt
OpticNrv_R,OpticNerve_R,RT Optic Nerve,Opt.nerve_R,RT-OpticNerve,Optical_Nerve-R,Optic Nerve-R,rt optic nerve,Optic Nerve R,Right Optic Nerve,ON_R,nerf opt drt,OpticNerve(R),OpticNerve (R),optic_nrv_rt
OralCavity,Avoidance Oral,oral avoid,Oral Cavity,Cavity_Oral,Cavity,,,,,,,,,
Orbit_L,Orbit Left,Left Orbit,,,,,,,,,,,,
Orbit_R,Orbit Right,Right Orbit,,,,,,,,,,,,
Pacemaker,pacemaker,,,,,,,,,,,,,
Pancreas,pancreas,,,,,,,,,,,,,
Parotid_L,L Parotid,Lt-parotid,Lt-Parotid,Parotid-L,Parotid L,Left Parotid,Parotide G,Parotide Gche,Parotid (L),Parotid(L),Parotid_LT,Lt Parotid,Left Parotid,Lparotid
Parotid_R,R Parotid,Rt-parotid,Rt-Parotid,Parotid-R,Parotid R,Right Parotid,Parotide D,Parotide Drt,Parotid (R),Parotid(R),Parotid_RT,Rt Parotid,Right Parotid,Rparotid
PenileBulb,Penile Bulb,,,,,,,,,,,,,
Pharyngeal,Pharyngeal Constrictor,PharyngealConstrictor,,,,,,,,,,,,
Pharynx,,,,,,,,,,,,,,
Pituitary,Pitutiary,,,,,,,,,,,,,
Rectum,Rectum,,,,,,,,,,,,,
Sigmoid,Sigmoid,,,,,,,,,,,,,
SpinalCord,Spinal Cord,spinal cord,cord,Cord,SPINAL_CORD,Spinal-cord,Spinal_cord,SpinalCanal,SpinalCord,moelle,,,,
Spleen,SP,,,,,,,,,,,,,
Stomach,Stomach,istomach,,,,,,,,,,,,
Thyroid,Thyroide,Thyroid Gland,,,,,,,,,,,,
TMJ_L,Lt TM joint,TMJ L,TMJ-L,Left TMJ,TM_JOINT_LT,,,,,,,,,
TMJ_R,Rt TM joint,TMJ R,TMJ-R,Right TMJ,TM_JOINT_RT,,,,,,,,,
Trachea,Trachea,Trachee,,,,,,,,,,,,
Urethra,,,,,,,,,,,,,,
GTV,,,,,,,,,,,,,,
GTVnd,,,,,,,,,,,,,,
CTV,ITV,ICTV,,,,,,,,,,,,
PTV,,,,,,,,,,,,,,
Cord_PRV,Cord PRV,,,,,,,,,,,,,
